"N06","378274","12 ACTON AVE ","AVE","12","ACTON"
"N06","378196","45 ACTON AVE ","AVE","45","ACTON"
"N06","378299","46 ACTON AVE ","AVE","46","ACTON"
"N06","378189","59 ACTON AVE ","AVE","59","ACTON"
"N06","378173","75 ACTON AVE ","AVE","75","ACTON"
"N06","378170","81 ACTON AVE ","AVE","81","ACTON"
"N06","378326","84 ACTON AVE ","AVE","84","ACTON"
"N06","378151","107 ACTON AVE ","AVE","107","ACTON"
"N06","372620","178 ACTON AVE ","AVE","178","ACTON"
"N06","372476","193 ACTON AVE ","AVE","193","ACTON"
"N06","372473","199 ACTON AVE ","AVE","199","ACTON"
"N06","372600","208 ACTON AVE ","AVE","208","ACTON"
"N06","372581","242 ACTON AVE ","AVE","242","ACTON"
"N06","372565","262 ACTON AVE ","AVE","262","ACTON"
"N06","372529","277 ACTON AVE ","AVE","277","ACTON"
"N06","354445","5 AGATE RD ","RD","5","AGATE"
"N06","361096","67-91 ALEXDON RD ","RD","67-91","ALEXDON"
"N06","370913","20 ALEXIS BLVD ","BLVD","20","ALEXIS"
"N06","370914","22 ALEXIS BLVD ","BLVD","22","ALEXIS"
"N06","370934","28 ALEXIS BLVD ","BLVD","28","ALEXIS"
"N06","370936","32 ALEXIS BLVD ","BLVD","32","ALEXIS"
"N06","370862","43 ALEXIS BLVD ","BLVD","43","ALEXIS"
"N06","370859","49 ALEXIS BLVD ","BLVD","49","ALEXIS"
"N06","370805","117 ALEXIS BLVD ","BLVD","117","ALEXIS"
"N06","369157","21 ALLINGHAM GDNS ","GDNS","21","ALLINGHAM"
"N06","369227","74 ALLINGHAM GDNS ","GDNS","74","ALLINGHAM"
"N06","369259","88 ALLINGHAM GDNS ","GDNS","88","ALLINGHAM"
"N06","369260","90 ALLINGHAM GDNS ","GDNS","90","ALLINGHAM"
"N06","369266","102 ALLINGHAM GDNS ","GDNS","102","ALLINGHAM"
"N06","369268","106 ALLINGHAM GDNS ","GDNS","106","ALLINGHAM"
"N06","369617","6 ALMINGTON ST ","ST","6","ALMINGTON"
"N06","369612","16 ALMINGTON ST ","ST","16","ALMINGTON"
"N06","369558","27 ALMINGTON ST ","ST","27","ALMINGTON"
"N06","369143","10 ALMONT RD ","RD","10","ALMONT"
"N06","369146","19 ALMONT RD ","RD","19","ALMONT"
"N06","369132","32 ALMONT RD ","RD","32","ALMONT"
"N06","370279","15 ALMORE AVE ","AVE","15","ALMORE"
"N06","370313","16 ALMORE AVE ","AVE","16","ALMORE"
